action,kind,identifier,old-term,new-term
UPDATE,4,29048,"Acadia National Park, Isle as Haut","Acadia National Park, Isle au Haut"
ADD,4,29056,,Gouldsboro
ADD,4,29057,,"Gouldsboro, Ashville"
ADD,4,29058,,"Gouldsboro, Ashville, Schieffelin Point"
ADD,4,29059,,"Gouldsboro, Birch Harbor"
ADD,4,29060,,"Gouldsboro, Bunkers Harbor"
ADD,4,29061,,"Gouldsboro, Corea"
ADD,4,29062,,"Gouldsboro, Forbes Pond"
ADD,4,29063,,"Gouldsboro, Gerrishville"
ADD,4,29064,,"Gouldsboro, Pond District"
ADD,4,29065,,"Gouldsboro, Prospect Harbor"
ADD,4,29066,,"Gouldsboro, Schoodic Peninsula"
ADD,4,29067,,"Gouldsboro, South Gouldsboro"
ADD,4,29068,,"Gouldsboro, Summer Harbor"
ADD,4,29069,,"Gouldsboro, West Bay"
ADD,4,29070,,"Gouldsboro, West Gouldsboro"
ADD,4,29071,,"Gouldsboro, West Gouldsboro, Jones Pond"
ADD,4,29072,,"Gouldsboro, West Gouldsboro, Taft Point"
ADD,4,29073,,"Gouldsboro, Winter Harbor"
ADD,4,29074,,"Gouldsboro, Wonsqueak Harbor"
ADD,4,29075,,Winter Harbor
ADD,4,29076,,"Winter Harbor, Grindstone Neck"
ADD,4,29077,,"Winter Harbor, Sargent Point"
