Kind,Identifier,Term
4,29001,Acadia National Park
4,29046,"Acadia National Park, Cadillac Mountain"
4,29002,"Acadia National Park, HCTPR"
4,29048,"Acadia National Park, Isle as Haut"
4,29050,"Acadia National Park, Jordan Pond"
4,29003,"Acadia National Park, Lafayette National Park"
4,29049,"Acadia National Park, Schoodic Peninsula"
4,29004,"Acadia National Park, Sieur de Monts National Monument"
4,29047,"Acadia National Park, Thunder Hole"
4,29005,Bar Harbor
4,29006,"Bar Harbor, Eden"
4,29007,"Bar Harbor, Otter Creek"
4,29008,"Bar Harbor, Town Hill"
2,23010,"Businesses, Automotive Repair Business"
2,23001,"Businesses, Blacksmith Business"
2,23002,"Businesses, Boatbuilding Business"
2,23003,"Businesses, Bowling Alley Business"
2,23004,"Businesses, Building Business"
2,23022,"Businesses, Business Shop"
2,23005,"Businesses, Cannery Business"
2,23006,"Businesses, Carpentry Business"
2,23007,"Businesses, Farming"
2,23008,"Businesses, Ferry Service"
2,23009,"Businesses, Fishery Business"
2,23011,"Businesses, Laundromat Business"
2,23012,"Businesses, Lodging Business"
2,23013,"Businesses, Market Business"
2,23014,"Businesses, Medical Business"
2,23015,"Businesses, Other Business"
2,23024,"Businesses, Photography Business"
2,23016,"Businesses, Publishing Business"
2,23017,"Businesses, Quarry Operation"
2,23018,"Businesses, Real Estate Business"
2,23019,"Businesses, Restaurant Business"
2,23021,"Businesses, Service Business"
2,23020,"Businesses, Service Station Business"
2,23023,"Businesses, Store Business"
2,23025,"Businesses, Theater Business"
2,23026,"Businesses, Transportation Business"
4,29009,Cranberry Isles
4,29010,"Cranberry Isles, Baker Island"
4,29011,"Cranberry Isles, Bear Island"
4,29012,"Cranberry Isles, Great Cranberry Island"
4,29013,"Cranberry Isles, Little Cranberry Island"
4,29014,"Cranberry Isles, Little Cranberry Island, Islesford"
4,29015,"Cranberry Isles, Sutton Island"
1,13600,"Document, Acknowledgment"
1,13266,"Document, Administrative Records"
1,12844,"Document, Advertising, Advertisement"
1,12851,"Document, Advertising, Advertising Card"
1,12852,"Document, Advertising, Advertising Card, Political Card"
1,12853,"Document, Advertising, Advertising Card, Show Card"
1,12854,"Document, Advertising, Advertising Card, Tobacco Card"
1,12855,"Document, Advertising, Advertising Card, Trade Card"
1,12840,"Document, Advertising, Advertising Media"
1,12848,"Document, Advertising, Broadside"
1,12849,"Document, Advertising, Brochure"
1,12870,"Document, Advertising, Display Piece"
1,12862,"Document, Advertising, Flier"
1,12863,"Document, Advertising, Flier, Circular"
1,12866,"Document, Advertising, Flier, Handbill"
1,12867,"Document, Advertising, Flier, Handbill, Door Hanger"
1,12864,"Document, Advertising, Flier, Political Flier"
1,12865,"Document, Advertising, Flier, Trade Flier"
1,12872,"Document, Advertising, Placard"
1,12873,"Document, Advertising, Placard, Picket Sign"
1,12874,"Document, Advertising, Poster"
1,12875,"Document, Advertising, Poster, Music Poster"
1,12876,"Document, Advertising, Poster, Political Poster"
1,12877,"Document, Advertising, Poster, Theater Poster"
1,12878,"Document, Advertising, Poster, Theater Poster, Lobby Card"
1,12879,"Document, Advertising, Premium"
1,12880,"Document, Advertising, Premium, Tobacco Premium"
1,12882,"Document, Advertising, Premium, Tobacco Premium, Cigar Ribbon"
1,12881,"Document, Advertising, Premium, Tobacco Premium, Tobacco Flannel"
